ts_utc,missing_book_flag,best_bid,best_ask,mid,spread,bid_px_01,bid_sz_01,bid_px_02,bid_sz_02,bid_px_03,bid_sz_03,bid_px_04,bid_sz_04,bid_px_05,bid_sz_05,bid_px_06,bid_sz_06,bid_px_07,bid_sz_07,bid_px_08,bid_sz_08,bid_px_09,bid_sz_09,bid_px_10,bid_sz_10,bid_px_11,bid_sz_11,bid_px_12,bid_sz_12,bid_px_13,bid_sz_13,bid_px_14,bid_sz_14,bid_px_15,bid_sz_15,bid_px_16,bid_sz_16,bid_px_17,bid_sz_17,bid_px_18,bid_sz_18,bid_px_19,bid_sz_19,bid_px_20,bid_sz_20,ask_px_01,ask_sz_01,ask_px_02,ask_sz_02,ask_px_03,ask_sz_03,ask_px_04,ask_sz_04,ask_px_05,ask_sz_05,ask_px_06,ask_sz_06,ask_px_07,ask_sz_07,ask_px_08,ask_sz_08,ask_px_09,ask_sz_09,ask_px_10,ask_sz_10,ask_px_11,ask_sz_11,ask_px_12,ask_sz_12,ask_px_13,ask_sz_13,ask_px_14,ask_sz_14,ask_px_15,ask_sz_15,ask_px_16,ask_sz_16,ask_px_17,ask_sz_17,ask_px_18,ask_sz_18,ask_px_19,ask_sz_19,ask_px_20,ask_sz_20,bid_depth_bp_0_5,ask_depth_bp_0_5,bid_depth_bp_5_10,ask_depth_bp_5_10,bid_depth_bp_10_25,ask_depth_bp_10_25,bid_depth_bp_25_50,ask_depth_bp_25_50,bid_depth_bp_50_100,ask_depth_bp_50_100,bid_depth_bp_100_200,ask_depth_bp_100_200,bucket_cf_age_s,trade_count,buy_count,sell_count,missing_trades_flag,signed_volume,abs_volume,avg_trade_size,max_trade_size,time_since_last_trade_s
1770697544000000000,0,69684.46,69684.47,69684.465,0.00999999999476131,69684.46,0.58801,69684.45,8e-05,69684.04,0.02085,69683.71,0.37082,69683.68,0.47411,69683.67,0.06379,69683.33,0.07197,69683.27,8e-05,69683.25,0.0015,69683.1,0.01136,69683.06,0.00028,69683.05,0.00144,69683.04,0.0015,69683.0,0.00015,69682.74,0.00026,69682.2,8e-05,69681.5,0.0015,69681.36,0.0015,69681.02,8e-05,69680.23,0.00029,69684.47,0.43002,69684.48,0.00035,69684.49,0.00027,69685.36,9e-05,69685.63,0.00016,69685.64,0.00743,69685.73,8e-05,69686.0,0.0012,69686.52,8e-05,69686.9,0.00011,69687.1,0.00016,69687.11,0.11965,69687.57,0.00016,69687.58,0.05016,69687.87,0.00548,69687.9,8e-05,69688.0,0.0012,69688.64,8e-05,69689.25,9e-05,69689.26,8e-05,36.38347000000001,29.855850000000004,42.506749999999975,53.60313000000002,73.52065000000006,54.80058000000001,38.12799000000001,32.545040000000036,58.168929999999726,15.803970000000032,113.53137999999991,90.75526999999973,0,28,27,1,0,11908000.0,16708000.0,596714.2857142857,6294000,0.219273309
1770697545000000000,0,69695.59,69695.6,69695.595,0.010000000009313226,69695.59,1.83176,69695.52,0.00424,69695.5,0.0015,69694.99,8e-05,69694.8,0.0015,69694.23,1.13427,69694.22,0.00016,69693.99,0.03585,69693.75,0.0015,69693.12,0.0015,69692.87,0.34707,69692.79,8e-05,69692.0,0.0015,69691.99,0.00016,69691.98,0.04016,69691.44,0.0015,69691.21,0.11076,69690.26,0.00717,69690.25,0.0015,69690.0,0.06102,69695.6,0.0011,69695.61,0.00035,69695.62,9e-05,69695.63,9e-05,69695.67,8e-05,69695.82,8e-05,69696.0,0.0012,69696.32,8e-05,69697.12,8e-05,69698.0,0.0012,69698.88,0.00016,69698.89,0.01016,69699.11,0.003,69699.24,8e-05,69699.32,0.00015,69699.74,0.00144,69699.82,0.00016,69699.85,0.00024,69699.91,0.00024,69699.92,0.02816,36.38347000000001,29.855850000000004,42.506749999999975,53.60313000000002,73.52065000000006,54.80058000000001,38.12799000000001,32.545040000000036,58.168929999999726,15.803970000000032,113.53137999999991,90.75526999999973,1,70,69,1,0,6570000.0,8568000.0,122400.0,1343000,0.051548329
1770697546000000000,0,69695.99,69696.0,69695.995,0.00999999999476131,69695.99,0.49785,69695.98,8e-05,69695.83,8e-05,69695.61,0.00016,69695.6,0.47418,69695.13,8e-05,69694.44,0.01084,69693.58,8e-05,69692.88,0.00016,69692.87,0.15016,69692.79,8e-05,69692.01,0.00042,69691.44,0.0015,69691.21,0.00613,69691.11,0.02085,69690.78,0.0149,69690.25,0.0015,69690.02,0.00016,69690.01,0.06983,69690.0,0.00016,69696.0,0.8971,69696.01,8e-05,69696.32,8e-05,69696.37,0.00016,69696.38,0.02112,69696.48,0.00177,69697.12,8e-05,69697.25,0.00159,69697.74,0.00153,69697.96,0.14478,69697.97,0.12661,69697.98,0.14626,69698.0,0.0012,69698.16,0.0015,69698.85,0.00684,69698.89,0.01016,69699.0,0.0015,69699.11,0.003,69699.24,8e-05,69699.45,0.474,36.38347000000001,29.855850000000004,42.506749999999975,53.60313000000002,73.52065000000006,54.80058000000001,38.12799000000001,32.545040000000036,58.168929999999726,15.803970000000032,113.53137999999991,90.75526999999973,2,0,0,0,1,0.0,0.0,0.0,0,1.051548329
1770697547000000000,0,69686.38,69686.39,69686.38500000001,0.00999999999476131,69686.38,0.04252,69686.37,8e-05,69686.09,0.00016,69686.08,0.01505,69686.0,0.0008,69685.73,8e-05,69685.37,8e-05,69684.47,0.00016,69684.46,0.00772,69684.11,0.00016,69684.1,0.02536,69684.0,0.0004,69682.88,0.20191,69682.87,0.47412,69682.25,0.00466,69682.2,0.00017,69682.0,0.0004,69681.06,8e-05,69681.05,0.03016,69680.84,0.02085,69686.39,1.17567,69686.4,0.00185,69686.75,0.00177,69687.01,0.15594,69687.02,0.06829,69687.39,2.79672,69687.4,2.23741,69687.45,8e-05,69687.84,0.01181,69688.08,0.0015,69688.5,0.0015,69688.58,0.47408,69689.26,8e-05,69689.33,0.00073,69689.38,8e-05,69689.74,0.01556,69689.76,0.0015,69690.25,0.0015,69690.81,0.02841,69690.89,0.73185,36.38347000000001,29.855850000000004,42.506749999999975,53.60313000000002,73.52065000000006,54.80058000000001,38.12799000000001,32.545040000000036,58.168929999999726,15.803970000000032,113.53137999999991,90.75526999999973,3,32,2,30,0,-18264000.0,19030000.0,594687.5,15765000,0.022471246
1770697548000000000,0,69686.38,69686.39,69686.38500000001,0.00999999999476131,69686.38,0.13322,69686.37,8e-05,69686.02,8e-05,69686.01,0.01506,69686.0,0.002,69685.73,8e-05,69685.37,8e-05,69685.16,0.00016,69685.15,0.1519,69685.14,0.4741,69684.46,0.00772,69684.37,0.00963,69684.3,0.02085,69684.1,0.02536,69684.0,0.0008,69683.81,8e-05,69683.25,0.0015,69683.04,0.0015,69682.89,0.00016,69682.88,0.06033,69686.39,1.08824,69686.4,0.00185,69686.75,0.00177,69687.01,0.00016,69687.02,0.06829,69687.45,8e-05,69688.08,0.00159,69688.15,0.00152,69688.5,0.0015,69688.58,0.00016,69688.59,0.009,69688.94,0.00016,69688.95,0.01551,69689.13,0.00016,69689.14,0.02085,69689.26,8e-05,69689.33,0.00073,69689.76,0.0015,69690.25,0.0015,69690.76,8e-05,36.38347000000001,29.855850000000004,42.506749999999975,53.60313000000002,73.52065000000006,54.80058000000001,38.12799000000001,32.545040000000036,58.168929999999726,15.803970000000032,113.53137999999991,90.75526999999973,4,2,1,1,0,-118000.0,284000.0,142000.0,201000,0.231128715
1770697549000000000,0,69686.38,69686.39,69686.38500000001,0.00999999999476131,69686.38,0.10907,69686.37,8e-05,69686.0,0.00312,69685.73,8e-05,69685.37,8e-05,69685.15,0.00016,69685.14,0.4741,69685.11,0.01506,69684.67,8e-05,69684.46,0.00772,69684.31,0.00016,69684.3,0.02085,69684.0,0.0012,69683.84,0.00016,69683.83,0.02494,69683.56,0.00697,69683.25,0.0015,69683.04,0.0015,69682.89,0.00016,69682.88,0.06041,69686.39,0.95917,69686.4,0.00035,69686.75,0.00177,69687.01,0.00016,69687.02,0.06829,69687.45,8e-05,69688.03,0.01066,69688.08,0.00159,69688.15,0.00152,69688.5,0.15734,69688.64,0.00029,69689.14,0.02085,69689.26,8e-05,69689.33,0.00073,69689.76,0.0015,69690.25,0.47557,69690.29,0.01553,69690.75,0.16617,69690.76,8e-05,69690.81,0.02841,27.063770000000005,39.63807000000002,43.74631000000002,56.58429999999998,69.70893000000001,54.18382000000002,37.46461,33.22121,58.30942999999973,15.85741000000003,113.54870999999991,90.69558999999971,0,2,1,1,0,-2380000.0,2420000.0,1210000.0,2400000,0.103109786
1770697550000000000,0,69686.38,69686.39,69686.38500000001,0.00999999999476131,69686.38,0.07974,69686.37,8e-05,69686.0,0.00312,69685.73,8e-05,69685.37,8e-05,69685.15,0.00016,69685.14,0.4741,69685.01,0.01515,69684.67,8e-05,69684.46,0.00772,69684.31,0.00016,69684.3,0.02085,69684.0,0.0012,69683.56,0.00711,69683.25,0.0015,69683.04,0.00166,69683.03,0.02479,69682.89,0.00016,69682.88,0.06041,69682.46,0.00016,69686.39,0.97391,69686.4,0.00185,69686.75,0.00177,69687.01,0.00016,69687.02,0.06829,69687.45,8e-05,69688.01,0.00016,69688.02,0.0109,69688.08,0.0015,69688.15,0.00152,69688.49,0.00016,69688.5,0.15734,69688.64,0.00029,69689.13,0.00016,69689.14,0.02085,69689.26,8e-05,69689.33,0.00073,69689.76,0.0015,69690.24,8e-05,69690.25,0.47557,27.063770000000005,39.63807000000002,43.74631000000002,56.58429999999998,69.70893000000001,54.18382000000002,37.46461,33.22121,58.30942999999973,15.85741000000003,113.54870999999991,90.69558999999971,1,1,0,1,0,-2871000.0,2871000.0,2871000.0,2871000,0.256267059
1770697551000000000,0,69695.09,69695.1,69695.095,0.010000000009313226,69695.09,0.00695,69695.08,0.00024,69693.42,0.00016,69692.79,8e-05,69692.38,0.00016,69692.18,8e-05,69692.15,0.00016,69691.45,0.00016,69691.44,0.0406,69691.21,0.00016,69691.09,0.003,69690.41,0.00016,69690.32,0.00016,69690.25,0.0015,69690.13,0.00016,69689.77,0.00016,69689.76,0.0015,69689.56,8e-05,69689.55,0.00016,69689.37,0.02069,69695.1,1.74292,69695.11,8e-05,69695.14,0.00043,69695.5,0.0015,69695.51,2.93862,69695.72,0.04072,69695.98,0.19375,69695.99,0.00245,69696.0,0.04542,69696.32,8e-05,69696.48,0.0015,69697.12,8e-05,69697.16,0.01469,69697.25,0.0015,69697.57,0.02481,69697.67,0.07179,69697.99,0.00016,69698.0,0.0012,69698.16,0.0015,69698.89,0.01016,27.063770000000005,39.63807000000002,43.74631000000002,56.58429999999998,69.70893000000001,54.18382000000002,37.46461,33.22121,58.30942999999973,15.85741000000003,113.54870999999991,90.69558999999971,2,73,64,9,0,83726000.0,98452000.0,1348657.5342465753,18893000,0.131865051
1770697552000000000,0,69691.09,69691.1,69691.095,0.010000000009313226,69691.09,0.00126,69691.08,8e-05,69690.95,8e-05,69690.0,0.00032,69689.32,0.00073,69689.26,8e-05,69688.0,0.0004,69687.53,0.00016,69687.52,0.00016,69687.24,0.00029,69686.66,0.00016,69686.65,0.01016,69686.42,0.00016,69686.41,0.05016,69686.4,0.00016,69686.39,0.02857,69686.38,0.00828,69686.33,0.00016,69686.21,0.003,69686.0,0.08756,69691.1,2.15694,69691.11,8e-05,69691.13,0.02112,69691.44,0.00177,69692.0,0.00159,69692.43,0.02083,69692.7,0.00025,69692.79,8e-05,69693.12,0.0015,69693.71,0.04016,69693.75,0.0015,69694.5,0.00029,69694.8,0.0015,69695.06,0.47403,69695.1,0.11225,69695.49,1.63922,69695.5,5.03547,69695.51,0.14222,69695.72,0.04008,69695.98,0.17854,27.063770000000005,39.63807000000002,43.74631000000002,56.58429999999998,69.70893000000001,54.18382000000002,37.46461,33.22121,58.30942999999973,15.85741000000003,113.54870999999991,90.69558999999971,3,7,0,7,0,-5905000.0,5905000.0,843571.4285714285,5092000,0.303472114
1770697553000000000,0,69691.09,69691.1,69691.095,0.010000000009313226,69691.09,0.01609,69691.08,8e-05,69690.95,8e-05,69690.0,0.0004,69689.32,0.00073,69689.26,8e-05,69689.12,9e-05,69688.0,0.00088,69687.24,0.00029,69686.66,0.00016,69686.65,0.01016,69686.42,0.00016,69686.41,0.05016,69686.4,0.00016,69686.39,0.00788,69686.38,0.00828,69686.21,0.003,69686.17,8e-05,69686.16,0.01515,69686.01,8e-05,69691.1,2.1776,69691.11,8e-05,69691.13,0.02112,69691.17,0.00027,69691.44,0.00159,69692.0,0.00159,69692.33,8e-05,69692.43,0.02099,69692.48,0.01229,69692.66,0.00016,69692.79,8e-05,69692.84,0.00144,69693.12,0.0015,69693.71,0.04016,69693.75,0.0015,69694.5,0.00029,69694.8,0.0015,69695.1,0.11241,69695.31,0.47403,69695.49,1.63938,27.063770000000005,39.63807000000002,43.74631000000002,56.58429999999998,69.70893000000001,54.18382000000002,37.46461,33.22121,58.30942999999973,15.85741000000003,113.54870999999991,90.69558999999971,4,2,1,1,0,-7990000.0,8030000.0,4015000.0,8010000,0.07753458
